date,center_id,center_name,total_doses_administered,appointments_scheduled,doses_via_appointment,doses_via_walkin,no_shows,no_show_rate
2021-05-22,MLD-01,Malard Central Health Center,126,55,49,77,6,0.1091
2021-05-22,MLD-02,Sabashahr Health Center,109,58,51,58,7,0.1207
2021-05-22,MLD-03,Vahedieh Health Center,107,32,29,78,3,0.0938
2021-05-22,MLD-04,Sadeghieh-e Malard Vaccination Center,94,36,32,62,4,0.1111
2021-05-22,MLD-05,Chelab Rural Vaccination Center,66,31,27,39,4,0.129
2021-05-23,MLD-01,Malard Central Health Center,137,61,55,82,6,0.0984
2021-05-23,MLD-02,Sabashahr Health Center,113,53,48,65,5,0.0943
2021-05-23,MLD-03,Vahedieh Health Center,101,41,36,65,5,0.122
2021-05-23,MLD-04,Sadeghieh-e Malard Vaccination Center,95,44,39,56,5,0.1136
2021-05-23,MLD-05,Chelab Rural Vaccination Center,63,33,30,33,3,0.0909
2021-05-24,MLD-01,Malard Central Health Center,127,57,51,76,6,0.1053
2021-05-24,MLD-02,Sabashahr Health Center,110,53,46,64,7,0.1321
2021-05-24,MLD-03,Vahedieh Health Center,104,36,33,71,3,0.0833
2021-05-24,MLD-04,Sadeghieh-e Malard Vaccination Center,91,25,23,68,2,0.08
2021-05-24,MLD-05,Chelab Rural Vaccination Center,70,25,24,46,1,0.04
2021-05-25,MLD-01,Malard Central Health Center,140,56,49,91,7,0.125
2021-05-25,MLD-02,Sabashahr Health Center,131,62,54,77,8,0.129
2021-05-25,MLD-03,Vahedieh Health Center,98,38,33,65,5,0.1316
2021-05-25,MLD-04,Sadeghieh-e Malard Vaccination Center,76,31,27,49,4,0.129
2021-05-25,MLD-05,Chelab Rural Vaccination Center,62,24,22,40,2,0.0833
2021-05-26,MLD-01,Malard Central Health Center,134,69,59,75,10,0.1449
2021-05-26,MLD-02,Sabashahr Health Center,112,47,41,71,6,0.1277
2021-05-26,MLD-03,Vahedieh Health Center,103,40,35,68,5,0.125
2021-05-26,MLD-04,Sadeghieh-e Malard Vaccination Center,92,39,33,59,6,0.1538
2021-05-26,MLD-05,Chelab Rural Vaccination Center,71,29,26,45,3,0.1034
2021-05-27,MLD-01,Malard Central Health Center,116,55,47,69,8,0.1455
2021-05-27,MLD-02,Sabashahr Health Center,111,44,36,75,8,0.1818
2021-05-27,MLD-03,Vahedieh Health Center,84,43,37,47,6,0.1395
2021-05-27,MLD-04,Sadeghieh-e Malard Vaccination Center,72,36,30,42,6,0.1667
2021-05-27,MLD-05,Chelab Rural Vaccination Center,58,27,23,35,4,0.1481
2021-05-28,MLD-01,Malard Central Health Center,47,22,19,28,3,0.1364
2021-05-28,MLD-02,Sabashahr Health Center,42,18,15,27,3,0.1667
2021-05-28,MLD-03,Vahedieh Health Center,37,12,11,26,1,0.0833
2021-05-28,MLD-04,Sadeghieh-e Malard Vaccination Center,33,12,11,22,1,0.0833
2021-05-28,MLD-05,Chelab Rural Vaccination Center,25,10,8,17,2,0.2
2021-05-29,MLD-01,Malard Central Health Center,144,63,59,85,4,0.0635
2021-05-29,MLD-02,Sabashahr Health Center,126,42,39,87,3,0.0714
2021-05-29,MLD-03,Vahedieh Health Center,100,41,37,63,4,0.0976
2021-05-29,MLD-04,Sadeghieh-e Malard Vaccination Center,89,37,34,55,3,0.0811
2021-05-29,MLD-05,Chelab Rural Vaccination Center,72,23,20,52,3,0.1304
2021-05-30,MLD-01,Malard Central Health Center,134,51,46,88,5,0.098
2021-05-30,MLD-02,Sabashahr Health Center,122,51,45,77,6,0.1176
2021-05-30,MLD-03,Vahedieh Health Center,95,44,41,54,3,0.0682
2021-05-30,MLD-04,Sadeghieh-e Malard Vaccination Center,102,34,33,69,1,0.0294
2021-05-30,MLD-05,Chelab Rural Vaccination Center,82,37,32,50,5,0.1351
2021-05-31,MLD-01,Malard Central Health Center,146,58,55,91,3,0.0517
2021-05-31,MLD-02,Sabashahr Health Center,126,41,40,86,1,0.0244
2021-05-31,MLD-03,Vahedieh Health Center,103,47,42,61,5,0.1064
2021-05-31,MLD-04,Sadeghieh-e Malard Vaccination Center,97,43,38,59,5,0.1163
2021-05-31,MLD-05,Chelab Rural Vaccination Center,72,27,24,48,3,0.1111
2021-06-01,MLD-01,Malard Central Health Center,138,60,53,85,7,0.1167
2021-06-01,MLD-02,Sabashahr Health Center,134,58,51,83,7,0.1207
2021-06-01,MLD-03,Vahedieh Health Center,104,38,34,70,4,0.1053
2021-06-01,MLD-04,Sadeghieh-e Malard Vaccination Center,97,31,28,69,3,0.0968
2021-06-01,MLD-05,Chelab Rural Vaccination Center,72,30,27,45,3,0.1
2021-06-02,MLD-01,Malard Central Health Center,151,68,58,93,10,0.1471
2021-06-02,MLD-02,Sabashahr Health Center,123,55,49,74,6,0.1091
2021-06-02,MLD-03,Vahedieh Health Center,98,44,40,58,4,0.0909
2021-06-02,MLD-04,Sadeghieh-e Malard Vaccination Center,108,53,47,61,6,0.1132
2021-06-02,MLD-05,Chelab Rural Vaccination Center,75,34,30,45,4,0.1176
2021-06-03,MLD-01,Malard Central Health Center,120,51,44,76,7,0.1373
2021-06-03,MLD-02,Sabashahr Health Center,104,43,36,68,7,0.1628
2021-06-03,MLD-03,Vahedieh Health Center,88,50,40,48,10,0.2
2021-06-03,MLD-04,Sadeghieh-e Malard Vaccination Center,82,32,27,55,5,0.1562
2021-06-03,MLD-05,Chelab Rural Vaccination Center,78,31,27,51,4,0.129
2021-06-04,MLD-01,Malard Central Health Center,54,24,21,33,3,0.125
2021-06-04,MLD-02,Sabashahr Health Center,46,17,15,31,2,0.1176
2021-06-04,MLD-03,Vahedieh Health Center,33,19,17,16,2,0.1053
2021-06-04,MLD-04,Sadeghieh-e Malard Vaccination Center,38,18,16,22,2,0.1111
2021-06-04,MLD-05,Chelab Rural Vaccination Center,24,10,9,15,1,0.1
2021-06-05,MLD-01,Malard Central Health Center,140,52,46,94,6,0.1154
2021-06-05,MLD-02,Sabashahr Health Center,128,52,44,84,8,0.1538
2021-06-05,MLD-03,Vahedieh Health Center,103,43,38,65,5,0.1163
2021-06-05,MLD-04,Sadeghieh-e Malard Vaccination Center,116,40,36,80,4,0.1
2021-06-05,MLD-05,Chelab Rural Vaccination Center,79,36,32,47,4,0.1111
2021-06-06,MLD-01,Malard Central Health Center,151,71,66,85,5,0.0704
2021-06-06,MLD-02,Sabashahr Health Center,122,41,37,85,4,0.0976
2021-06-06,MLD-03,Vahedieh Health Center,122,47,43,79,4,0.0851
2021-06-06,MLD-04,Sadeghieh-e Malard Vaccination Center,102,47,42,60,5,0.1064
2021-06-06,MLD-05,Chelab Rural Vaccination Center,83,26,24,59,2,0.0769
2021-06-07,MLD-01,Malard Central Health Center,135,61,55,80,6,0.0984
2021-06-07,MLD-02,Sabashahr Health Center,152,64,53,99,11,0.1719
2021-06-07,MLD-03,Vahedieh Health Center,112,29,24,88,5,0.1724
2021-06-07,MLD-04,Sadeghieh-e Malard Vaccination Center,97,37,34,63,3,0.0811
2021-06-07,MLD-05,Chelab Rural Vaccination Center,83,26,24,59,2,0.0769
2021-06-08,MLD-01,Malard Central Health Center,170,73,68,102,5,0.0685
2021-06-08,MLD-02,Sabashahr Health Center,145,57,52,93,5,0.0877
2021-06-08,MLD-03,Vahedieh Health Center,87,30,27,60,3,0.1
