date,center_id,center_name,vaccinators_on_duty,theoretical_capacity_doses
2021-05-22,MLD-01,Malard Central Health Center,2,300
2021-05-23,MLD-01,Malard Central Health Center,2,300
2021-05-24,MLD-01,Malard Central Health Center,3,450
2021-05-25,MLD-01,Malard Central Health Center,3,450
2021-05-26,MLD-01,Malard Central Health Center,3,450
2021-05-27,MLD-01,Malard Central Health Center,2,300
2021-05-28,MLD-01,Malard Central Health Center,1,150
2021-05-29,MLD-01,Malard Central Health Center,3,450
2021-05-30,MLD-01,Malard Central Health Center,3,450
2021-05-31,MLD-01,Malard Central Health Center,2,300
2021-06-01,MLD-01,Malard Central Health Center,3,450
2021-06-02,MLD-01,Malard Central Health Center,3,450
2021-06-03,MLD-01,Malard Central Health Center,3,450
2021-06-04,MLD-01,Malard Central Health Center,1,150
2021-06-05,MLD-01,Malard Central Health Center,3,450
2021-06-06,MLD-01,Malard Central Health Center,4,600
2021-06-07,MLD-01,Malard Central Health Center,2,300
2021-06-08,MLD-01,Malard Central Health Center,4,600
2021-06-09,MLD-01,Malard Central Health Center,4,600
2021-06-10,MLD-01,Malard Central Health Center,3,450
2021-06-11,MLD-01,Malard Central Health Center,2,300
2021-06-12,MLD-01,Malard Central Health Center,4,600
2021-06-13,MLD-01,Malard Central Health Center,4,600
2021-06-14,MLD-01,Malard Central Health Center,4,600
2021-06-15,MLD-01,Malard Central Health Center,4,600
2021-06-16,MLD-01,Malard Central Health Center,5,750
2021-06-17,MLD-01,Malard Central Health Center,3,450
2021-06-18,MLD-01,Malard Central Health Center,2,300
2021-06-19,MLD-01,Malard Central Health Center,5,750
2021-06-20,MLD-01,Malard Central Health Center,5,750
2021-06-21,MLD-01,Malard Central Health Center,5,750
2021-06-22,MLD-01,Malard Central Health Center,5,750
2021-06-23,MLD-01,Malard Central Health Center,5,750
2021-06-24,MLD-01,Malard Central Health Center,4,600
2021-06-25,MLD-01,Malard Central Health Center,2,300
2021-06-26,MLD-01,Malard Central Health Center,5,750
2021-06-27,MLD-01,Malard Central Health Center,5,750
2021-06-28,MLD-01,Malard Central Health Center,6,900
2021-06-29,MLD-01,Malard Central Health Center,6,900
2021-06-30,MLD-01,Malard Central Health Center,6,900
2021-07-01,MLD-01,Malard Central Health Center,4,600
2021-07-02,MLD-01,Malard Central Health Center,1,150
2021-07-03,MLD-01,Malard Central Health Center,6,900
2021-07-04,MLD-01,Malard Central Health Center,6,900
2021-07-05,MLD-01,Malard Central Health Center,6,900
2021-07-06,MLD-01,Malard Central Health Center,6,900
2021-07-07,MLD-01,Malard Central Health Center,6,900
2021-07-08,MLD-01,Malard Central Health Center,4,600
2021-07-09,MLD-01,Malard Central Health Center,2,300
2021-07-10,MLD-01,Malard Central Health Center,6,900
