date,jalali_date,new_confirmed_cases,cumulative_confirmed_cases,cases_per_100k_7d_avg
2021-05-22,1400-03-01,1,1,0.2857142857142857
2021-05-23,1400-03-02,2,3,0.42857142857142855
2021-05-24,1400-03-03,7,10,0.9523809523809524
2021-05-25,1400-03-04,5,15,1.0714285714285714
2021-05-26,1400-03-05,3,18,1.0285714285714287
2021-05-27,1400-03-06,2,20,0.9523809523809524
2021-05-28,1400-03-07,8,28,1.1428571428571428
2021-05-29,1400-03-08,3,31,1.2244897959183672
2021-05-30,1400-03-09,2,33,1.2244897959183672
2021-05-31,1400-03-10,3,36,1.0612244897959184
2021-06-01,1400-03-11,0,36,0.8571428571428571
2021-06-02,1400-03-12,1,37,0.7755102040816327
2021-06-03,1400-03-13,2,39,0.7755102040816327
2021-06-04,1400-03-14,0,39,0.4489795918367347
2021-06-05,1400-03-15,2,41,0.4081632653061224
2021-06-06,1400-03-16,6,47,0.5714285714285714
2021-06-07,1400-03-17,2,49,0.5306122448979592
2021-06-08,1400-03-18,7,56,0.8163265306122448
2021-06-09,1400-03-19,4,60,0.9387755102040816
2021-06-10,1400-03-20,1,61,0.8979591836734694
2021-06-11,1400-03-21,3,64,1.0204081632653061
2021-06-12,1400-03-22,6,70,1.183673469387755
2021-06-13,1400-03-23,3,73,1.0612244897959184
2021-06-14,1400-03-24,3,76,1.1020408163265307
2021-06-15,1400-03-25,7,83,1.1020408163265307
2021-06-16,1400-03-26,5,88,1.1428571428571428
2021-06-17,1400-03-27,10,98,1.510204081632653
2021-06-18,1400-03-28,5,103,1.5918367346938775
2021-06-19,1400-03-29,5,108,1.5510204081632655
2021-06-20,1400-03-30,4,112,1.5918367346938775
2021-06-21,1400-03-31,7,119,1.7551020408163267
2021-06-22,1400-04-01,8,127,1.7959183673469388
2021-06-23,1400-04-02,17,144,2.2857142857142856
2021-06-24,1400-04-03,16,160,2.5306122448979593
2021-06-25,1400-04-04,7,167,2.6122448979591835
2021-06-26,1400-04-05,6,173,2.653061224489796
