date,jalali_date,center_id,center_name,locality,vaccine_type,dose_number,doses_administered
2021-05-22,1400-03-01,MLD-01,Malard Central Health Center,Malard,Sinopharm,1st Dose,70
2021-05-22,1400-03-01,MLD-01,Malard Central Health Center,Malard,Sinopharm,2nd Dose,0
2021-05-22,1400-03-01,MLD-01,Malard Central Health Center,Malard,Sinopharm,Booster,0
2021-05-22,1400-03-01,MLD-01,Malard Central Health Center,Malard,AstraZeneca,1st Dose,51
2021-05-22,1400-03-01,MLD-01,Malard Central Health Center,Malard,AstraZeneca,2nd Dose,0
2021-05-22,1400-03-01,MLD-01,Malard Central Health Center,Malard,AstraZeneca,Booster,0
2021-05-22,1400-03-01,MLD-01,Malard Central Health Center,Malard,COVIran Barekat,1st Dose,5
2021-05-22,1400-03-01,MLD-01,Malard Central Health Center,Malard,COVIran Barekat,2nd Dose,0
2021-05-22,1400-03-01,MLD-01,Malard Central Health Center,Malard,COVIran Barekat,Booster,0
2021-05-22,1400-03-01,MLD-02,Sabashahr Health Center,Sabashahr,Sinopharm,1st Dose,47
2021-05-22,1400-03-01,MLD-02,Sabashahr Health Center,Sabashahr,Sinopharm,2nd Dose,0
2021-05-22,1400-03-01,MLD-02,Sabashahr Health Center,Sabashahr,Sinopharm,Booster,0
2021-05-22,1400-03-01,MLD-02,Sabashahr Health Center,Sabashahr,AstraZeneca,1st Dose,57
2021-05-22,1400-03-01,MLD-02,Sabashahr Health Center,Sabashahr,AstraZeneca,2nd Dose,0
2021-05-22,1400-03-01,MLD-02,Sabashahr Health Center,Sabashahr,AstraZeneca,Booster,0
2021-05-22,1400-03-01,MLD-02,Sabashahr Health Center,Sabashahr,COVIran Barekat,1st Dose,5
2021-05-22,1400-03-01,MLD-02,Sabashahr Health Center,Sabashahr,COVIran Barekat,2nd Dose,0
2021-05-22,1400-03-01,MLD-02,Sabashahr Health Center,Sabashahr,COVIran Barekat,Booster,0
2021-05-22,1400-03-01,MLD-03,Vahedieh Health Center,Vahedieh,Sinopharm,1st Dose,64
2021-05-22,1400-03-01,MLD-03,Vahedieh Health Center,Vahedieh,Sinopharm,2nd Dose,0
2021-05-22,1400-03-01,MLD-03,Vahedieh Health Center,Vahedieh,Sinopharm,Booster,0
2021-05-22,1400-03-01,MLD-03,Vahedieh Health Center,Vahedieh,AstraZeneca,1st Dose,42
2021-05-22,1400-03-01,MLD-03,Vahedieh Health Center,Vahedieh,AstraZeneca,2nd Dose,0
2021-05-22,1400-03-01,MLD-03,Vahedieh Health Center,Vahedieh,AstraZeneca,Booster,0
2021-05-22,1400-03-01,MLD-03,Vahedieh Health Center,Vahedieh,COVIran Barekat,1st Dose,1
2021-05-22,1400-03-01,MLD-03,Vahedieh Health Center,Vahedieh,COVIran Barekat,2nd Dose,0
2021-05-22,1400-03-01,MLD-03,Vahedieh Health Center,Vahedieh,COVIran Barekat,Booster,0
2021-05-22,1400-03-01,MLD-04,Sadeghieh-e Malard Vaccination Center,Sadeghieh,Sinopharm,1st Dose,47
2021-05-22,1400-03-01,MLD-04,Sadeghieh-e Malard Vaccination Center,Sadeghieh,Sinopharm,2nd Dose,0
2021-05-22,1400-03-01,MLD-04,Sadeghieh-e Malard Vaccination Center,Sadeghieh,Sinopharm,Booster,0
2021-05-22,1400-03-01,MLD-04,Sadeghieh-e Malard Vaccination Center,Sadeghieh,AstraZeneca,1st Dose,46
2021-05-22,1400-03-01,MLD-04,Sadeghieh-e Malard Vaccination Center,Sadeghieh,AstraZeneca,2nd Dose,0
2021-05-22,1400-03-01,MLD-04,Sadeghieh-e Malard Vaccination Center,Sadeghieh,AstraZeneca,Booster,0
2021-05-22,1400-03-01,MLD-04,Sadeghieh-e Malard Vaccination Center,Sadeghieh,COVIran Barekat,1st Dose,1
2021-05-22,1400-03-01,MLD-04,Sadeghieh-e Malard Vaccination Center,Sadeghieh,COVIran Barekat,2nd Dose,0
2021-05-22,1400-03-01,MLD-04,Sadeghieh-e Malard Vaccination Center,Sadeghieh,COVIran Barekat,Booster,0
2021-05-22,1400-03-01,MLD-05,Chelab Rural Vaccination Center,Chelab,Sinopharm,1st Dose,38
2021-05-22,1400-03-01,MLD-05,Chelab Rural Vaccination Center,Chelab,Sinopharm,2nd Dose,0
2021-05-22,1400-03-01,MLD-05,Chelab Rural Vaccination Center,Chelab,Sinopharm,Booster,0
2021-05-22,1400-03-01,MLD-05,Chelab Rural Vaccination Center,Chelab,AstraZeneca,1st Dose,26
2021-05-22,1400-03-01,MLD-05,Chelab Rural Vaccination Center,Chelab,AstraZeneca,2nd Dose,0
2021-05-22,1400-03-01,MLD-05,Chelab Rural Vaccination Center,Chelab,AstraZeneca,Booster,0
2021-05-22,1400-03-01,MLD-05,Chelab Rural Vaccination Center,Chelab,COVIran Barekat,1st Dose,2
2021-05-22,1400-03-01,MLD-05,Chelab Rural Vaccination Center,Chelab,COVIran Barekat,2nd Dose,0
2021-05-22,1400-03-01,MLD-05,Chelab Rural Vaccination Center,Chelab,COVIran Barekat,Booster,0
