date,doses_received,doses_distributed,closing_stock
2021-05-22,5192,502,6945
2021-05-23,0,509,6436
2021-05-24,0,502,5934
2021-05-25,0,507,5427
2021-05-26,0,512,4915
2021-05-27,0,441,4474
2021-05-28,0,184,4290
2021-05-29,0,531,3759
2021-05-30,0,535,3224
2021-05-31,4864,544,7544
2021-06-01,0,545,6999
2021-06-02,0,555,6444
2021-06-03,0,472,5972
2021-06-04,0,195,5777
2021-06-05,0,566,5211
2021-06-06,0,580,4631
2021-06-07,0,579,4052
2021-06-08,4887,583,8356
2021-06-09,0,585,7771
2021-06-10,0,495,7276
2021-06-11,0,206,7070
2021-06-12,0,585,6485
2021-06-13,0,585,5900
2021-06-14,0,588,5312
2021-06-15,0,596,4716
2021-06-16,0,180,4536
2021-06-17,3952,519,7969
2021-06-18,0,214,7755
2021-06-19,0,611,7144
2021-06-20,0,622,6522
2021-06-21,0,630,5892
2021-06-22,0,631,5261
2021-06-23,6326,638,10950
2021-06-24,0,547,10403
2021-06-25,0,225,10178
2021-06-26,0,644,9534
2021-06-27,0,640,8894
2021-06-28,0,646,8248
2021-06-29,0,654,7594
2021-06-30,0,657,6937
2021-07-01,0,559,6378
2021-07-02,3873,237,10013
2021-07-03,0,701,9312
2021-07-04,0,729,8583
2021-07-05,0,753,7830
2021-07-06,0,782,7048
2021-07-07,3930,805,10174
2021-07-08,0,704,9470
2021-07-09,0,294,9176
2021-07-10,0,859,8317
2021-07-11,0,877,7440
2021-07-12,6745,916,13268
2021-07-13,0,948,12320
2021-07-14,0,970,11350
2021-07-15,0,843,10507
2021-07-16,0,351,10156
2021-07-17,0,1030,9126
2021-07-18,0,1042,8084
2021-07-19,9522,1064,16543
2021-07-20,0,1092,15451
2021-07-21,0,1116,14335
2021-07-22,0,975,13360
2021-07-23,0,416,12944
2021-07-24,0,1220,11724
2021-07-25,0,1231,10493
2021-07-26,0,1246,9247
2021-07-27,7990,1255,15981
2021-07-28,0,1281,14700
2021-07-29,0,1102,13598
2021-07-30,0,467,13131
2021-07-31,0,1406,11725
2021-08-01,0,1431,10294
2021-08-02,12240,1476,21058
2021-08-03,0,1510,19548
2021-08-04,0,1549,17999
2021-08-05,0,1353,16646
2021-08-06,0,565,16081
2021-08-07,0,1649,14432
2021-08-08,0,1697,12735
2021-08-09,14032,1741,25026
2021-08-10,0,1773,23253
2021-08-11,0,1797,21456
2021-08-12,0,1599,19857
2021-08-13,0,678,19179
2021-08-14,0,1994,17185
2021-08-15,0,2029,15156
2021-08-16,19686,2053,32790
2021-08-17,0,2081,30709
2021-08-18,0,2095,28614
2021-08-19,0,1845,26769
2021-08-20,0,772,25997
2021-08-21,0,2276,23721
2021-08-22,0,2304,21417
2021-08-23,0,2351,19066
2021-08-24,19801,2393,36474
2021-08-25,0,2397,34077
2021-08-26,0,2108,31969
2021-08-27,0,877,31092
2021-08-28,0,2517,28575
2021-08-29,0,2574,26001
2021-08-30,0,2611,23390
2021-08-31,0,2638,20752
2021-09-01,25279,2656,43375
2021-09-02,0,2224,41151
2021-09-03,0,916,40235
2021-09-04,0,2614,37621
2021-09-05,0,2663,34958
2021-09-06,0,2685,32273
2021-09-07,0,2720,29553
2021-09-08,0,2731,26822
2021-09-09,0,2351,24471
2021-09-10,13071,972,36570
2021-09-11,0,2793,33777
2021-09-12,0,2815,30962
2021-09-13,0,2837,28125
2021-09-14,0,2928,25197
2021-09-15,20728,2915,43010
2021-09-16,0,2453,40557
2021-09-17,0,1019,39538
2021-09-18,0,2910,36628
2021-09-19,0,2867,33761
2021-09-20,0,2860,30901
2021-09-21,0,2954,27947
2021-09-22,14392,2949,39390
2021-09-23,0,2480,36910
2021-09-24,0,1054,35856
2021-09-25,0,2997,32859
2021-09-26,0,3109,29750
2021-09-27,30976,3111,57616
2021-09-28,0,3180,54436
2021-09-29,0,3183,51253
2021-09-30,0,2727,48526
2021-10-01,0,1125,47401
2021-10-02,0,3221,44180
2021-10-03,0,3241,40939
2021-10-04,0,3269,37670
2021-10-05,0,3287,34383
2021-10-06,31178,3301,62260
2021-10-07,0,2797,59463
2021-10-08,0,1156,58307
2021-10-09,0,3369,54938
2021-10-10,0,3343,51595
2021-10-11,0,3353,48242
2021-10-12,0,3395,44847
2021-10-13,0,3409,41438
2021-10-14,0,2922,38516
2021-10-15,20051,1188,57378
2021-10-16,0,3403,53975
2021-10-17,0,3393,50582
2021-10-18,0,3386,47196
2021-10-19,0,3438,43758
2021-10-20,0,3428,40330
2021-10-21,22523,2922,59931
2021-10-22,0,1182,58749
2021-10-23,0,3440,55309
2021-10-24,0,3470,51839
2021-10-25,0,3465,48374
2021-10-26,0,3451,44923
2021-10-27,0,3472,41451
2021-10-28,17823,2984,56289
2021-10-29,0,1249,55040
2021-10-30,0,3585,51455
2021-10-31,0,3577,47878
2021-11-01,0,3602,44276
2021-11-02,16572,3618,57230
2021-11-03,0,3607,53623
2021-11-04,0,3080,50543
2021-11-05,0,1274,49269
2021-11-06,0,3623,45646
2021-11-07,26972,3595,69023
2021-11-08,0,3610,65413
2021-11-09,0,3566,61847
2021-11-10,0,3521,58326
2021-11-11,0,3004,55322
2021-11-12,0,1244,54078
2021-11-13,0,3567,50511
2021-11-14,0,3562,46949
2021-11-15,22173,3472,65650
2021-11-16,0,3481,62169
2021-11-17,0,3519,58650
2021-11-18,0,3001,55649
2021-11-19,0,1238,54411
2021-11-20,0,3523,50888
2021-11-21,27452,3510,74830
2021-11-22,0,3485,71345
2021-11-23,0,3477,67868
2021-11-24,0,3420,64448
2021-11-25,0,2935,61513
2021-11-26,0,1192,60321
2021-11-27,0,3416,56905
2021-11-28,0,3442,53463
2021-11-29,14846,3446,64863
2021-11-30,0,3499,61364
2021-12-01,0,3401,57963
2021-12-02,0,611,57352
2021-12-03,0,1152,56200
2021-12-04,19466,3226,72440
2021-12-05,0,3233,69207
2021-12-06,0,3231,65976
2021-12-07,0,3145,62831
2021-12-08,0,3128,59703
2021-12-09,22971,2675,79999
2021-12-10,0,1092,78907
2021-12-11,0,3141,75766
2021-12-12,0,3150,72616
2021-12-13,0,3136,69480
2021-12-14,0,3151,66329
2021-12-15,0,3156,63173
2021-12-16,13513,2668,74018
2021-12-17,0,1072,72946
2021-12-18,0,3011,69935
2021-12-19,0,2965,66970
2021-12-20,0,2933,64037
2021-12-21,23474,2941,84570
2021-12-22,0,2911,81659
2021-12-23,0,2446,79213
2021-12-24,0,998,78215
2021-12-25,0,2803,75412
2021-12-26,0,2748,72664
2021-12-27,0,2744,69920
2021-12-28,0,2676,67244
2021-12-29,22194,2620,86817
2021-12-30,0,2203,84614
2021-12-31,0,907,83707
2022-01-01,0,2550,81157
2022-01-02,0,2505,78652
2022-01-03,0,2472,76180
2022-01-04,0,2454,73726
2022-01-05,0,2417,71309
2022-01-06,17534,2051,86793
2022-01-07,0,844,85949
2022-01-08,0,2435,83514
2022-01-09,0,2515,80999
2022-01-10,0,2545,78454
2022-01-11,0,2600,75854
2022-01-12,0,2634,73220
2022-01-13,20449,2268,91401
2022-01-14,0,926,90475
2022-01-15,0,2650,87825
2022-01-16,0,2676,85149
2022-01-17,0,2739,82410
2022-01-18,0,2777,79633
2022-01-19,0,2801,76832
2022-01-20,0,2421,74411
2022-01-21,20911,1017,94305
2022-01-22,0,2935,91370
2022-01-23,0,2968,88402
2022-01-24,0,2998,85404
2022-01-25,0,3024,82380
2022-01-26,0,3027,79353
2022-01-27,0,2577,76776
2022-01-28,18748,1079,94445
2022-01-29,0,3149,91296
2022-01-30,0,3167,88129
2022-01-31,0,3187,84942
2022-02-01,0,969,83973
2022-02-02,0,3119,80854
2022-02-03,0,2689,78165
2022-02-04,20541,1094,97612
2022-02-05,0,3124,94488
2022-02-06,0,3154,91334
2022-02-07,0,3182,88152
2022-02-08,0,3184,84968
2022-02-09,0,3192,81776
2022-02-10,25051,2733,104094
2022-02-11,0,1121,102973
2022-02-12,0,3268,99705
2022-02-13,0,3245,96460
2022-02-14,0,3246,93214
2022-02-15,0,3240,89974
2022-02-16,0,3256,86718
2022-02-17,20271,2819,104169
2022-02-18,0,1152,103017
2022-02-19,0,3311,99706
2022-02-20,0,3338,96368
2022-02-21,0,3381,92987
2022-02-22,0,3354,89633
2022-02-23,24178,3331,110481
2022-02-24,0,2831,107650
2022-02-25,0,1166,106484
2022-02-26,0,3305,103179
2022-02-27,0,3298,99881
2022-02-28,0,3284,96597
2022-03-01,0,3317,93280
2022-03-02,26340,3264,116355
2022-03-03,0,2714,113641
2022-03-04,0,1096,112545
2022-03-05,0,3107,109438
2022-03-06,0,3050,106388
2022-03-07,0,3041,103347
2022-03-08,0,2988,100359
2022-03-09,0,2962,97397
2022-03-10,23313,2489,118221
2022-03-11,0,1005,117216
2022-03-12,0,2797,114419
2022-03-13,0,2807,111612
2022-03-14,0,2787,108825
2022-03-15,0,2723,106102
2022-03-16,0,2664,103438
2022-03-17,0,2290,101148
2022-03-18,0,923,100225
2022-03-19,14061,2651,111635
2022-03-20,0,2621,109014
2022-03-21,0,2543,106471
2022-03-22,0,2500,103971
2022-03-23,0,2492,101479
2022-03-24,10422,2047,109854
2022-03-25,0,826,109028
2022-03-26,0,2312,106716
2022-03-27,0,2293,104423
2022-03-28,0,2268,102155
2022-03-29,16464,2245,116374
2022-03-30,0,2211,114163
2022-03-31,0,1854,112309
2022-04-01,0,740,111569
2022-04-02,0,2082,109487
2022-04-03,0,2074,107413
2022-04-04,0,2033,105380
2022-04-05,17526,1979,120927
2022-04-06,0,1929,118998
2022-04-07,0,1629,117369
2022-04-08,0,641,116728
2022-04-09,0,1839,114889
2022-04-10,0,1762,113127
2022-04-11,0,1720,111407
2022-04-12,0,1663,109744
2022-04-13,0,1636,108108
2022-04-14,8658,1369,115396
2022-04-15,0,550,114846
2022-04-16,0,1532,113314
2022-04-17,0,1468,111846
2022-04-18,0,1448,110398
2022-04-19,0,1432,108966
2022-04-20,9956,1402,117521
2022-04-21,0,1186,116335
2022-04-22,0,484,115851
2022-04-23,0,1366,114485
2022-04-24,0,1352,113133
2022-04-25,0,1334,111799
2022-04-26,0,1296,110503
2022-04-27,10536,1292,119747
2022-04-28,0,1057,118690
2022-04-29,0,433,118257
2022-04-30,0,1211,117046
2022-05-01,0,1205,115841
2022-05-02,0,1200,114641
2022-05-03,0,1192,113449
2022-05-04,0,1189,112260
2022-05-05,0,1010,111250
2022-05-06,10290,408,121131
2022-05-07,0,1159,119972
2022-05-08,0,1138,118834
2022-05-09,0,1124,117710
2022-05-10,0,1117,116593
2022-05-11,0,1090,115503
2022-05-12,0,890,114613
2022-05-13,0,358,114255
2022-05-14,0,1021,113234
2022-05-15,9100,995,121340
2022-05-16,0,992,120348
2022-05-17,0,967,119381
2022-05-18,0,949,118432
2022-05-19,0,795,117637
2022-05-20,0,73,117564
2022-05-21,0,884,116680
2022-05-22,0,878,115802
2022-05-23,0,861,114941
2022-05-24,7313,865,121389
2022-05-25,0,843,120546
2022-05-26,0,721,119825
2022-05-27,0,295,119530
2022-05-28,0,828,118702
2022-05-29,0,818,117884
2022-05-30,0,808,117076
2022-05-31,0,801,116275
2022-06-01,0,798,115477
2022-06-02,4469,654,119292
2022-06-03,0,270,119022
2022-06-04,0,234,118788
2022-06-05,0,755,118033
2022-06-06,0,743,117290
2022-06-07,0,733,116557
2022-06-08,0,717,115840
2022-06-09,5639,613,120866
2022-06-10,0,246,120620
2022-06-11,0,700,119920
2022-06-12,0,698,119222
2022-06-13,0,692,118530
2022-06-14,0,683,117847
2022-06-15,0,673,117174
2022-06-16,0,554,116620
2022-06-17,2952,228,119344
2022-06-18,0,642,118702
2022-06-19,0,632,118070
2022-06-20,0,613,117457
2022-06-21,0,603,116854
