date,center_id,center_name,open_vial_doses_wasted,expired_doses_wasted,total_doses_wasted,doses_drawn_from_vials,wastage_rate
2021-05-22,MLD-01,Malard Central Health Center,12,0,12,138,0.087
2021-05-22,MLD-02,Sabashahr Health Center,12,0,12,121,0.0992
2021-05-22,MLD-03,Vahedieh Health Center,7,0,7,114,0.0614
2021-05-22,MLD-04,Sadeghieh-e Malard Vaccination Center,8,0,8,102,0.0784
2021-05-22,MLD-05,Chelab Rural Vaccination Center,7,0,7,73,0.0959
2021-05-23,MLD-01,Malard Central Health Center,12,0,12,149,0.0805
2021-05-23,MLD-02,Sabashahr Health Center,10,7,17,130,0.1308
2021-05-23,MLD-03,Vahedieh Health Center,9,0,9,110,0.0818
2021-05-23,MLD-04,Sadeghieh-e Malard Vaccination Center,7,0,7,102,0.0686
2021-05-23,MLD-05,Chelab Rural Vaccination Center,5,0,5,68,0.0735
2021-05-24,MLD-01,Malard Central Health Center,14,0,14,141,0.0993
2021-05-24,MLD-02,Sabashahr Health Center,12,0,12,122,0.0984
2021-05-24,MLD-03,Vahedieh Health Center,10,0,10,114,0.0877
2021-05-24,MLD-04,Sadeghieh-e Malard Vaccination Center,12,0,12,103,0.1165
2021-05-24,MLD-05,Chelab Rural Vaccination Center,5,0,5,75,0.0667
2021-05-25,MLD-01,Malard Central Health Center,15,0,15,155,0.0968
2021-05-25,MLD-02,Sabashahr Health Center,15,0,15,146,0.1027
2021-05-25,MLD-03,Vahedieh Health Center,14,0,14,112,0.125
2021-05-25,MLD-04,Sadeghieh-e Malard Vaccination Center,8,0,8,84,0.0952
2021-05-25,MLD-05,Chelab Rural Vaccination Center,6,0,6,68,0.0882
2021-05-26,MLD-01,Malard Central Health Center,15,0,15,149,0.1007
2021-05-26,MLD-02,Sabashahr Health Center,11,0,11,123,0.0894
2021-05-26,MLD-03,Vahedieh Health Center,11,0,11,114,0.0965
2021-05-26,MLD-04,Sadeghieh-e Malard Vaccination Center,11,0,11,103,0.1068
2021-05-26,MLD-05,Chelab Rural Vaccination Center,7,0,7,78,0.0897
2021-05-27,MLD-01,Malard Central Health Center,11,0,11,127,0.0866
2021-05-27,MLD-02,Sabashahr Health Center,12,0,12,123,0.0976
2021-05-27,MLD-03,Vahedieh Health Center,9,0,9,93,0.0968
2021-05-27,MLD-04,Sadeghieh-e Malard Vaccination Center,6,0,6,78,0.0769
2021-05-27,MLD-05,Chelab Rural Vaccination Center,4,0,4,62,0.0645
2021-05-28,MLD-01,Malard Central Health Center,6,0,6,53,0.1132
2021-05-28,MLD-02,Sabashahr Health Center,5,0,5,47,0.1064
2021-05-28,MLD-03,Vahedieh Health Center,4,0,4,41,0.0976
2021-05-28,MLD-04,Sadeghieh-e Malard Vaccination Center,4,21,25,58,0.431
2021-05-28,MLD-05,Chelab Rural Vaccination Center,3,0,3,28,0.1071
2021-05-29,MLD-01,Malard Central Health Center,15,0,15,159,0.0943
2021-05-29,MLD-02,Sabashahr Health Center,11,0,11,137,0.0803
2021-05-29,MLD-03,Vahedieh Health Center,12,0,12,112,0.1071
2021-05-29,MLD-04,Sadeghieh-e Malard Vaccination Center,10,0,10,99,0.101
2021-05-29,MLD-05,Chelab Rural Vaccination Center,9,0,9,81,0.1111
2021-05-30,MLD-01,Malard Central Health Center,18,0,18,152,0.1184
2021-05-30,MLD-02,Sabashahr Health Center,11,0,11,133,0.0827
2021-05-30,MLD-03,Vahedieh Health Center,8,0,8,103,0.0777
2021-05-30,MLD-04,Sadeghieh-e Malard Vaccination Center,6,0,6,108,0.0556
2021-05-30,MLD-05,Chelab Rural Vaccination Center,10,0,10,92,0.1087
2021-05-31,MLD-01,Malard Central Health Center,7,0,7,153,0.0458
2021-05-31,MLD-02,Sabashahr Health Center,16,0,16,142,0.1127
2021-05-31,MLD-03,Vahedieh Health Center,5,0,5,108,0.0463
2021-05-31,MLD-04,Sadeghieh-e Malard Vaccination Center,9,0,9,106,0.0849
2021-05-31,MLD-05,Chelab Rural Vaccination Center,7,0,7,79,0.0886
2021-06-01,MLD-01,Malard Central Health Center,19,0,19,157,0.121
2021-06-01,MLD-02,Sabashahr Health Center,14,0,14,148,0.0946
2021-06-01,MLD-03,Vahedieh Health Center,7,0,7,111,0.0631
2021-06-01,MLD-04,Sadeghieh-e Malard Vaccination Center,10,0,10,107,0.0935
2021-06-01,MLD-05,Chelab Rural Vaccination Center,4,0,4,76,0.0526
2021-06-02,MLD-01,Malard Central Health Center,13,0,13,164,0.0793
2021-06-02,MLD-02,Sabashahr Health Center,9,0,9,132,0.0682
2021-06-02,MLD-03,Vahedieh Health Center,8,0,8,106,0.0755
2021-06-02,MLD-04,Sadeghieh-e Malard Vaccination Center,7,0,7,115,0.0609
2021-06-02,MLD-05,Chelab Rural Vaccination Center,9,0,9,84,0.1071
2021-06-03,MLD-01,Malard Central Health Center,11,0,11,131,0.084
2021-06-03,MLD-02,Sabashahr Health Center,7,0,7,111,0.0631
2021-06-03,MLD-03,Vahedieh Health Center,6,0,6,94,0.0638
2021-06-03,MLD-04,Sadeghieh-e Malard Vaccination Center,9,0,9,91,0.0989
2021-06-03,MLD-05,Chelab Rural Vaccination Center,9,0,9,87,0.1034
2021-06-04,MLD-01,Malard Central Health Center,5,0,5,59,0.0847
2021-06-04,MLD-02,Sabashahr Health Center,4,0,4,50,0.08
2021-06-04,MLD-03,Vahedieh Health Center,3,0,3,36,0.0833
2021-06-04,MLD-04,Sadeghieh-e Malard Vaccination Center,4,0,4,42,0.0952
2021-06-04,MLD-05,Chelab Rural Vaccination Center,3,0,3,27,0.1111
2021-06-05,MLD-01,Malard Central Health Center,17,0,17,157,0.1083
2021-06-05,MLD-02,Sabashahr Health Center,14,0,14,142,0.0986
2021-06-05,MLD-03,Vahedieh Health Center,10,0,10,113,0.0885
2021-06-05,MLD-04,Sadeghieh-e Malard Vaccination Center,7,0,7,123,0.0569
2021-06-05,MLD-05,Chelab Rural Vaccination Center,10,0,10,89,0.1124
2021-06-06,MLD-01,Malard Central Health Center,11,0,11,162,0.0679
2021-06-06,MLD-02,Sabashahr Health Center,14,0,14,136,0.1029
2021-06-06,MLD-03,Vahedieh Health Center,6,0,6,128,0.0469
2021-06-06,MLD-04,Sadeghieh-e Malard Vaccination Center,9,0,9,111,0.0811
2021-06-06,MLD-05,Chelab Rural Vaccination Center,7,0,7,90,0.0778
2021-06-07,MLD-01,Malard Central Health Center,13,0,13,148,0.0878
2021-06-07,MLD-02,Sabashahr Health Center,13,0,13,165,0.0788
2021-06-07,MLD-03,Vahedieh Health Center,8,0,8,120,0.0667
2021-06-07,MLD-04,Sadeghieh-e Malard Vaccination Center,8,0,8,105,0.0762
2021-06-07,MLD-05,Chelab Rural Vaccination Center,11,0,11,94,0.117
2021-06-08,MLD-01,Malard Central Health Center,12,0,12,182,0.0659
2021-06-08,MLD-02,Sabashahr Health Center,12,0,12,157,0.0764
2021-06-08,MLD-03,Vahedieh Health Center,7,0,7,94,0.0745
2021-06-08,MLD-04,Sadeghieh-e Malard Vaccination Center,12,0,12,115,0.1043
2021-06-08,MLD-05,Chelab Rural Vaccination Center,8,0,8,86,0.093
2021-06-09,MLD-01,Malard Central Health Center,12,0,12,179,0.067
2021-06-09,MLD-02,Sabashahr Health Center,13,0,13,146,0.089
2021-06-09,MLD-03,Vahedieh Health Center,13,0,13,126,0.1032
2021-06-09,MLD-04,Sadeghieh-e Malard Vaccination Center,9,0,9,108,0.0833
2021-06-09,MLD-05,Chelab Rural Vaccination Center,10,0,10,83,0.1205
2021-06-10,MLD-01,Malard Central Health Center,13,0,13,145,0.0897
2021-06-10,MLD-02,Sabashahr Health Center,14,0,14,123,0.1138
2021-06-10,MLD-03,Vahedieh Health Center,9,0,9,100,0.09
2021-06-10,MLD-04,Sadeghieh-e Malard Vaccination Center,11,0,11,109,0.1009
2021-06-10,MLD-05,Chelab Rural Vaccination Center,5,0,5,70,0.0714
2021-06-11,MLD-01,Malard Central Health Center,5,0,5,63,0.0794
2021-06-11,MLD-02,Sabashahr Health Center,5,0,5,47,0.1064
2021-06-11,MLD-03,Vahedieh Health Center,4,0,4,45,0.0889
2021-06-11,MLD-04,Sadeghieh-e Malard Vaccination Center,3,0,3,41,0.0732
2021-06-11,MLD-05,Chelab Rural Vaccination Center,3,0,3,30,0.1
2021-06-12,MLD-01,Malard Central Health Center,16,0,16,179,0.0894
2021-06-12,MLD-02,Sabashahr Health Center,14,0,14,157,0.0892
2021-06-12,MLD-03,Vahedieh Health Center,6,0,6,116,0.0517
2021-06-12,MLD-04,Sadeghieh-e Malard Vaccination Center,7,0,7,94,0.0745
2021-06-12,MLD-05,Chelab Rural Vaccination Center,6,0,6,88,0.0682
2021-06-13,MLD-01,Malard Central Health Center,19,0,19,174,0.1092
2021-06-13,MLD-02,Sabashahr Health Center,16,0,16,157,0.1019
2021-06-13,MLD-03,Vahedieh Health Center,9,0,9,120,0.075
2021-06-13,MLD-04,Sadeghieh-e Malard Vaccination Center,5,0,5,106,0.0472
2021-06-13,MLD-05,Chelab Rural Vaccination Center,7,0,7,84,0.0833
2021-06-14,MLD-01,Malard Central Health Center,17,0,17,172,0.0988
2021-06-14,MLD-02,Sabashahr Health Center,9,0,9,142,0.0634
2021-06-14,MLD-03,Vahedieh Health Center,9,0,9,121,0.0744
2021-06-14,MLD-04,Sadeghieh-e Malard Vaccination Center,9,0,9,126,0.0714
2021-06-14,MLD-05,Chelab Rural Vaccination Center,8,0,8,79,0.1013
2021-06-15,MLD-01,Malard Central Health Center,13,0,13,159,0.0818
2021-06-15,MLD-02,Sabashahr Health Center,8,0,8,139,0.0576
2021-06-15,MLD-03,Vahedieh Health Center,15,0,15,136,0.1103
2021-06-15,MLD-04,Sadeghieh-e Malard Vaccination Center,12,0,12,124,0.0968
2021-06-15,MLD-05,Chelab Rural Vaccination Center,12,0,12,98,0.1224
2021-06-16,MLD-01,Malard Central Health Center,6,0,6,56,0.1071
2021-06-16,MLD-02,Sabashahr Health Center,4,0,4,42,0.0952
2021-06-16,MLD-03,Vahedieh Health Center,3,0,3,38,0.0789
2021-06-16,MLD-04,Sadeghieh-e Malard Vaccination Center,5,0,5,37,0.1351
2021-06-16,MLD-05,Chelab Rural Vaccination Center,4,0,4,29,0.1379
2021-06-17,MLD-01,Malard Central Health Center,6,0,6,151,0.0397
